2026-01-19 09:13:47.485 - INFO - ============================================================
2026-01-19 09:13:47.485 - INFO - 开始KMERIA完整分析流程|Starting KMERIA complete analysis pipeline
2026-01-19 09:13:47.485 - INFO - ============================================================
2026-01-19 09:13:47.485 - INFO - ============================================================
2026-01-19 09:13:47.485 - INFO - 执行步骤|Executing step: COUNT
2026-01-19 09:13:47.485 - INFO - ============================================================
2026-01-19 09:13:47.485 - INFO - 开始k-mer计数|Starting k-mer counting
2026-01-19 09:13:47.485 - INFO - 样本数量|Sample count: 181
2026-01-19 09:13:48.649 - INFO - 找到|Found 181 个样本的FASTQ文件|samples with FASTQ files
2026-01-19 09:13:48.650 - INFO - 处理批次|Processing batch 1/46: 4 个样本|samples
2026-01-19 09:13:48.673 - INFO - 跳过样本|Skip sample: GDW012A (输出文件已存在|output file exists: output/01_kmer_counts/GDW012A_k31.bin, 14555.47M)
2026-01-19 09:13:48.692 - INFO - 跳过样本|Skip sample: SDW020A (输出文件已存在|output file exists: output/01_kmer_counts/SDW020A_k31.bin, 11218.21M)
2026-01-19 09:13:48.712 - INFO - 跳过样本|Skip sample: SDW115A (输出文件已存在|output file exists: output/01_kmer_counts/SDW115A_k31.bin, 8101.80M)
2026-01-19 09:13:48.724 - INFO - 跳过样本|Skip sample: SDW144A (输出文件已存在|output file exists: output/01_kmer_counts/SDW144A_k31.bin, 8590.02M)
2026-01-19 09:13:48.724 - INFO - 处理批次|Processing batch 2/46: 4 个样本|samples
2026-01-19 09:13:48.724 - INFO - 跳过样本|Skip sample: SDW145A (输出文件已存在|output file exists: output/01_kmer_counts/SDW145A_k31.bin, 8234.40M)
2026-01-19 09:13:48.725 - INFO - 跳过样本|Skip sample: SDW141A (输出文件已存在|output file exists: output/01_kmer_counts/SDW141A_k31.bin, 8435.82M)
2026-01-19 09:13:48.737 - INFO - 跳过样本|Skip sample: SDW142-1A (输出文件已存在|output file exists: output/01_kmer_counts/SDW142-1A_k31.bin, 8861.05M)
2026-01-19 09:13:48.754 - INFO - 跳过样本|Skip sample: SDW139A (输出文件已存在|output file exists: output/01_kmer_counts/SDW139A_k31.bin, 8045.07M)
2026-01-19 09:13:48.754 - INFO - 处理批次|Processing batch 3/46: 4 个样本|samples
2026-01-19 09:13:48.765 - INFO - 跳过样本|Skip sample: SDW126A (输出文件已存在|output file exists: output/01_kmer_counts/SDW126A_k31.bin, 8194.68M)
2026-01-19 09:13:48.789 - INFO - 跳过样本|Skip sample: SDW128A (输出文件已存在|output file exists: output/01_kmer_counts/SDW128A_k31.bin, 9145.05M)
2026-01-19 09:13:48.802 - INFO - 跳过样本|Skip sample: SDW129A (输出文件已存在|output file exists: output/01_kmer_counts/SDW129A_k31.bin, 8137.80M)
2026-01-19 09:13:48.804 - INFO - 跳过样本|Skip sample: SDW130A (输出文件已存在|output file exists: output/01_kmer_counts/SDW130A_k31.bin, 8184.04M)
2026-01-19 09:13:48.804 - INFO - 处理批次|Processing batch 4/46: 4 个样本|samples
