2026-01-17 14:52:26.199 - INFO - ============================================================
2026-01-17 14:52:26.199 - INFO - 开始KMERIA完整分析流程|Starting KMERIA complete analysis pipeline
2026-01-17 14:52:26.199 - INFO - ============================================================
2026-01-17 14:52:26.199 - INFO - ============================================================
2026-01-17 14:52:26.199 - INFO - 执行步骤|Executing step: COUNT
2026-01-17 14:52:26.199 - INFO - ============================================================
2026-01-17 14:52:26.199 - INFO - 开始k-mer计数|Starting k-mer counting
2026-01-17 14:52:26.199 - INFO - 样本数量|Sample count: 181
2026-01-17 14:52:27.364 - INFO - 找到|Found 181 个样本的FASTQ文件|samples with FASTQ files
2026-01-17 14:52:27.364 - INFO - 处理批次|Processing batch 1/46: 4 个样本|samples
2026-01-17 14:52:27.365 - INFO - 跳过样本|Skip sample: GDW012A (输出文件已存在|output file exists: output/01_kmer_counts/GDW012A_k31.bin, 14555.47M)
2026-01-17 14:52:27.365 - INFO - 跳过样本|Skip sample: SDW020A (输出文件已存在|output file exists: output/01_kmer_counts/SDW020A_k31.bin, 11218.21M)
2026-01-17 14:52:27.365 - INFO - 跳过样本|Skip sample: SDW115A (输出文件已存在|output file exists: output/01_kmer_counts/SDW115A_k31.bin, 8101.80M)
2026-01-17 14:52:27.366 - INFO - 跳过样本|Skip sample: SDW144A (输出文件已存在|output file exists: output/01_kmer_counts/SDW144A_k31.bin, 8590.02M)
2026-01-17 14:52:27.366 - INFO - 处理批次|Processing batch 2/46: 4 个样本|samples
2026-01-17 14:52:27.366 - INFO - 跳过样本|Skip sample: SDW145A (输出文件已存在|output file exists: output/01_kmer_counts/SDW145A_k31.bin, 8234.40M)
2026-01-17 14:52:27.366 - INFO - 跳过样本|Skip sample: SDW141A (输出文件已存在|output file exists: output/01_kmer_counts/SDW141A_k31.bin, 8435.82M)
2026-01-17 14:52:27.366 - INFO - 跳过样本|Skip sample: SDW142-1A (输出文件已存在|output file exists: output/01_kmer_counts/SDW142-1A_k31.bin, 8861.05M)
2026-01-17 14:52:27.367 - INFO - 跳过样本|Skip sample: SDW139A (输出文件已存在|output file exists: output/01_kmer_counts/SDW139A_k31.bin, 8045.07M)
2026-01-17 14:52:27.367 - INFO - 处理批次|Processing batch 3/46: 4 个样本|samples
2026-01-17 14:52:27.367 - INFO - 跳过样本|Skip sample: SDW126A (输出文件已存在|output file exists: output/01_kmer_counts/SDW126A_k31.bin, 8194.68M)
2026-01-17 14:52:27.367 - INFO - 跳过样本|Skip sample: SDW128A (输出文件已存在|output file exists: output/01_kmer_counts/SDW128A_k31.bin, 9145.05M)
2026-01-17 14:52:27.367 - INFO - 跳过样本|Skip sample: SDW129A (输出文件已存在|output file exists: output/01_kmer_counts/SDW129A_k31.bin, 8137.80M)
2026-01-17 14:52:27.368 - INFO - 跳过样本|Skip sample: SDW130A (输出文件已存在|output file exists: output/01_kmer_counts/SDW130A_k31.bin, 8184.04M)
2026-01-17 14:52:27.368 - INFO - 处理批次|Processing batch 4/46: 4 个样本|samples
2026-01-17 14:52:27.368 - INFO - 跳过样本|Skip sample: SDW176A (输出文件已存在|output file exists: output/01_kmer_counts/SDW176A_k31.bin, 8888.28M)
2026-01-17 14:52:27.368 - INFO - 跳过样本|Skip sample: SDW175A (输出文件已存在|output file exists: output/01_kmer_counts/SDW175A_k31.bin, 8372.27M)
2026-01-17 14:52:27.368 - INFO - 跳过样本|Skip sample: SDW181A (输出文件已存在|output file exists: output/01_kmer_counts/SDW181A_k31.bin, 8229.43M)
2026-01-17 14:52:27.369 - INFO - 跳过样本|Skip sample: SDW178A (输出文件已存在|output file exists: output/01_kmer_counts/SDW178A_k31.bin, 9920.72M)
2026-01-17 14:52:27.369 - INFO - 处理批次|Processing batch 5/46: 4 个样本|samples
2026-01-17 14:52:27.369 - INFO - 跳过样本|Skip sample: GDW120A (输出文件已存在|output file exists: output/01_kmer_counts/GDW120A_k31.bin, 17893.43M)
2026-01-17 14:52:27.369 - INFO - 跳过样本|Skip sample: SDW082A (输出文件已存在|output file exists: output/01_kmer_counts/SDW082A_k31.bin, 9447.52M)
2026-01-17 14:52:27.371 - INFO - 跳过样本|Skip sample: SDW072A (输出文件已存在|output file exists: output/01_kmer_counts/SDW072A_k31.bin, 15268.51M)
2026-01-17 14:52:27.372 - INFO - 跳过样本|Skip sample: SDW057A (输出文件已存在|output file exists: output/01_kmer_counts/SDW057A_k31.bin, 16188.17M)
2026-01-17 14:52:27.372 - INFO - 处理批次|Processing batch 6/46: 4 个样本|samples
2026-01-17 14:52:27.372 - INFO - 跳过样本|Skip sample: SDW074A (输出文件已存在|output file exists: output/01_kmer_counts/SDW074A_k31.bin, 9533.57M)
2026-01-17 14:52:27.372 - INFO - 跳过样本|Skip sample: SDW048A (输出文件已存在|output file exists: output/01_kmer_counts/SDW048A_k31.bin, 17116.80M)
2026-01-17 14:52:27.372 - INFO - 跳过样本|Skip sample: SDW095A (输出文件已存在|output file exists: output/01_kmer_counts/SDW095A_k31.bin, 8475.22M)
2026-01-17 14:52:27.373 - INFO - 跳过样本|Skip sample: SDW85A (输出文件已存在|output file exists: output/01_kmer_counts/SDW85A_k31.bin, 8761.71M)
2026-01-17 14:52:27.373 - INFO - 处理批次|Processing batch 7/46: 4 个样本|samples
2026-01-17 14:52:27.373 - INFO - 跳过样本|Skip sample: SDW043A (输出文件已存在|output file exists: output/01_kmer_counts/SDW043A_k31.bin, 15681.72M)
2026-01-17 14:52:27.373 - INFO - 跳过样本|Skip sample: SDW089A (输出文件已存在|output file exists: output/01_kmer_counts/SDW089A_k31.bin, 10026.40M)
2026-01-17 14:52:27.373 - INFO - 跳过样本|Skip sample: SDW084A (输出文件已存在|output file exists: output/01_kmer_counts/SDW084A_k31.bin, 8087.24M)
2026-01-17 14:52:27.373 - INFO - 跳过样本|Skip sample: SDW164A (输出文件已存在|output file exists: output/01_kmer_counts/SDW164A_k31.bin, 8579.07M)
2026-01-17 14:52:27.373 - INFO - 处理批次|Processing batch 8/46: 4 个样本|samples
2026-01-17 14:52:27.374 - INFO - 跳过样本|Skip sample: SDW192A (输出文件已存在|output file exists: output/01_kmer_counts/SDW192A_k31.bin, 8261.73M)
2026-01-17 14:52:27.374 - INFO - 跳过样本|Skip sample: SDW193A (输出文件已存在|output file exists: output/01_kmer_counts/SDW193A_k31.bin, 8752.79M)
2026-01-17 14:52:27.374 - INFO - 跳过样本|Skip sample: SDW194A (输出文件已存在|output file exists: output/01_kmer_counts/SDW194A_k31.bin, 9690.31M)
2026-01-17 14:52:27.374 - INFO - 跳过样本|Skip sample: SDW152A (输出文件已存在|output file exists: output/01_kmer_counts/SDW152A_k31.bin, 8410.73M)
2026-01-17 14:52:27.374 - INFO - 处理批次|Processing batch 9/46: 4 个样本|samples
2026-01-17 14:52:27.375 - INFO - 跳过样本|Skip sample: SDW188A (输出文件已存在|output file exists: output/01_kmer_counts/SDW188A_k31.bin, 8829.22M)
2026-01-17 14:52:27.375 - INFO - 跳过样本|Skip sample: SDW179A (输出文件已存在|output file exists: output/01_kmer_counts/SDW179A_k31.bin, 10641.81M)
2026-01-17 14:52:27.375 - INFO - 跳过样本|Skip sample: SDW162-1A (输出文件已存在|output file exists: output/01_kmer_counts/SDW162-1A_k31.bin, 8803.30M)
2026-01-17 14:52:27.375 - INFO - 跳过样本|Skip sample: SDW023A (输出文件已存在|output file exists: output/01_kmer_counts/SDW023A_k31.bin, 16692.64M)
2026-01-17 14:52:27.375 - INFO - 处理批次|Processing batch 10/46: 4 个样本|samples
2026-01-17 14:52:27.376 - INFO - 跳过样本|Skip sample: SDW016A (输出文件已存在|output file exists: output/01_kmer_counts/SDW016A_k31.bin, 18411.14M)
2026-01-17 14:52:27.376 - INFO - 跳过样本|Skip sample: SDW038A (输出文件已存在|output file exists: output/01_kmer_counts/SDW038A_k31.bin, 16580.16M)
2026-01-17 14:52:27.376 - INFO - 跳过样本|Skip sample: GDW111A (输出文件已存在|output file exists: output/01_kmer_counts/GDW111A_k31.bin, 17547.39M)
2026-01-17 14:52:27.376 - INFO - 跳过样本|Skip sample: SDW017A (输出文件已存在|output file exists: output/01_kmer_counts/SDW017A_k31.bin, 17899.29M)
2026-01-17 14:52:27.376 - INFO - 处理批次|Processing batch 11/46: 4 个样本|samples
2026-01-17 14:52:27.377 - INFO - 跳过样本|Skip sample: SDW170A (输出文件已存在|output file exists: output/01_kmer_counts/SDW170A_k31.bin, 8864.61M)
2026-01-17 14:52:27.377 - INFO - 跳过样本|Skip sample: SDW171A (输出文件已存在|output file exists: output/01_kmer_counts/SDW171A_k31.bin, 8985.57M)
2026-01-17 14:52:27.377 - INFO - 跳过样本|Skip sample: SDW008A (输出文件已存在|output file exists: output/01_kmer_counts/SDW008A_k31.bin, 17011.93M)
2026-01-17 14:52:27.377 - INFO - 跳过样本|Skip sample: SDW109A (输出文件已存在|output file exists: output/01_kmer_counts/SDW109A_k31.bin, 8344.61M)
2026-01-17 14:52:27.377 - INFO - 处理批次|Processing batch 12/46: 4 个样本|samples
2026-01-17 14:52:27.377 - INFO - 跳过样本|Skip sample: SDW116A (输出文件已存在|output file exists: output/01_kmer_counts/SDW116A_k31.bin, 9413.33M)
2026-01-17 14:52:27.378 - INFO - 跳过样本|Skip sample: SDW107A (输出文件已存在|output file exists: output/01_kmer_counts/SDW107A_k31.bin, 8154.27M)
2026-01-17 14:52:27.378 - INFO - 跳过样本|Skip sample: SDW099A (输出文件已存在|output file exists: output/01_kmer_counts/SDW099A_k31.bin, 9687.90M)
2026-01-17 14:52:27.378 - INFO - 跳过样本|Skip sample: SDW097-1A (输出文件已存在|output file exists: output/01_kmer_counts/SDW097-1A_k31.bin, 8599.65M)
2026-01-17 14:52:27.378 - INFO - 处理批次|Processing batch 13/46: 4 个样本|samples
2026-01-17 14:52:27.378 - INFO - 跳过样本|Skip sample: SDW097-2A (输出文件已存在|output file exists: output/01_kmer_counts/SDW097-2A_k31.bin, 8495.46M)
2026-01-17 14:52:27.379 - INFO - 跳过样本|Skip sample: SDW022A (输出文件已存在|output file exists: output/01_kmer_counts/SDW022A_k31.bin, 15520.46M)
2026-01-17 14:52:27.379 - INFO - 跳过样本|Skip sample: SDW114A (输出文件已存在|output file exists: output/01_kmer_counts/SDW114A_k31.bin, 9350.42M)
2026-01-17 14:52:27.379 - INFO - 跳过样本|Skip sample: SDW110A (输出文件已存在|output file exists: output/01_kmer_counts/SDW110A_k31.bin, 8268.12M)
2026-01-17 14:52:27.379 - INFO - 处理批次|Processing batch 14/46: 4 个样本|samples
2026-01-17 14:52:27.379 - INFO - 跳过样本|Skip sample: SDW111A (输出文件已存在|output file exists: output/01_kmer_counts/SDW111A_k31.bin, 8931.12M)
2026-01-17 14:52:27.379 - INFO - 跳过样本|Skip sample: SDW003A (输出文件已存在|output file exists: output/01_kmer_counts/SDW003A_k31.bin, 16173.81M)
2026-01-17 14:52:27.380 - INFO - 跳过样本|Skip sample: SDW034A (输出文件已存在|output file exists: output/01_kmer_counts/SDW034A_k31.bin, 16596.81M)
2026-01-17 14:52:27.380 - INFO - 跳过样本|Skip sample: SDW096A (输出文件已存在|output file exists: output/01_kmer_counts/SDW096A_k31.bin, 8484.25M)
2026-01-17 14:52:27.380 - INFO - 处理批次|Processing batch 15/46: 4 个样本|samples
2026-01-17 14:52:27.380 - INFO - 跳过样本|Skip sample: SDW054A (输出文件已存在|output file exists: output/01_kmer_counts/SDW054A_k31.bin, 14151.77M)
2026-01-17 14:52:27.380 - INFO - 跳过样本|Skip sample: SDW056A (输出文件已存在|output file exists: output/01_kmer_counts/SDW056A_k31.bin, 15565.84M)
2026-01-17 14:52:27.381 - INFO - 跳过样本|Skip sample: SDW053A (输出文件已存在|output file exists: output/01_kmer_counts/SDW053A_k31.bin, 15931.42M)
2026-01-17 14:52:27.381 - INFO - 跳过样本|Skip sample: SDW055A (输出文件已存在|output file exists: output/01_kmer_counts/SDW055A_k31.bin, 16987.09M)
2026-01-17 14:52:27.381 - INFO - 处理批次|Processing batch 16/46: 4 个样本|samples
2026-01-17 14:52:27.381 - INFO - 跳过样本|Skip sample: SDW007A (输出文件已存在|output file exists: output/01_kmer_counts/SDW007A_k31.bin, 17040.31M)
2026-01-17 14:52:27.381 - INFO - 跳过样本|Skip sample: SDW030A (输出文件已存在|output file exists: output/01_kmer_counts/SDW030A_k31.bin, 13785.66M)
2026-01-17 14:52:27.381 - INFO - 跳过样本|Skip sample: SDW018A (输出文件已存在|output file exists: output/01_kmer_counts/SDW018A_k31.bin, 16839.86M)
2026-01-17 14:52:27.382 - INFO - 跳过样本|Skip sample: SDW032A (输出文件已存在|output file exists: output/01_kmer_counts/SDW032A_k31.bin, 14898.67M)
2026-01-17 14:52:27.382 - INFO - 处理批次|Processing batch 17/46: 4 个样本|samples
2026-01-17 14:52:27.382 - INFO - 跳过样本|Skip sample: SDW031A (输出文件已存在|output file exists: output/01_kmer_counts/SDW031A_k31.bin, 15501.83M)
2026-01-17 14:52:27.382 - INFO - 跳过样本|Skip sample: SDW25A (输出文件已存在|output file exists: output/01_kmer_counts/SDW25A_k31.bin, 15324.25M)
2026-01-17 14:52:27.382 - INFO - 跳过样本|Skip sample: SDW019A (输出文件已存在|output file exists: output/01_kmer_counts/SDW019A_k31.bin, 16805.28M)
2026-01-17 14:52:27.383 - INFO - 跳过样本|Skip sample: SDW26A (输出文件已存在|output file exists: output/01_kmer_counts/SDW26A_k31.bin, 14729.51M)
2026-01-17 14:52:27.383 - INFO - 处理批次|Processing batch 18/46: 4 个样本|samples
2026-01-17 14:52:27.383 - INFO - 跳过样本|Skip sample: GDW105A (输出文件已存在|output file exists: output/01_kmer_counts/GDW105A_k31.bin, 9236.29M)
2026-01-17 14:52:27.383 - INFO - 跳过样本|Skip sample: SDW062A (输出文件已存在|output file exists: output/01_kmer_counts/SDW062A_k31.bin, 14575.83M)
2026-01-17 14:52:27.383 - INFO - 跳过样本|Skip sample: WJ98A (输出文件已存在|output file exists: output/01_kmer_counts/WJ98A_k31.bin, 15572.58M)
2026-01-17 14:52:27.383 - INFO - 跳过样本|Skip sample: GDW65A (输出文件已存在|output file exists: output/01_kmer_counts/GDW65A_k31.bin, 18413.23M)
2026-01-17 14:52:27.383 - INFO - 处理批次|Processing batch 19/46: 4 个样本|samples
2026-01-17 14:52:27.384 - INFO - 跳过样本|Skip sample: GDW069-1A (输出文件已存在|output file exists: output/01_kmer_counts/GDW069-1A_k31.bin, 8913.66M)
2026-01-17 14:52:27.384 - INFO - 跳过样本|Skip sample: GDW69-2A (输出文件已存在|output file exists: output/01_kmer_counts/GDW69-2A_k31.bin, 17444.82M)
2026-01-17 14:52:27.384 - INFO - 跳过样本|Skip sample: GDW44-2A (输出文件已存在|output file exists: output/01_kmer_counts/GDW44-2A_k31.bin, 20006.32M)
